para_1,para_2,para_3,result,Y_pred,Y_delta
0.059000000000000004,29.0,0.52,0.13781924,0.13058127985498044,-0.007237960145019567
0.057999999999999996,24.0,0.44,0.205333417,0.20305894100830074,-0.0022744759916992485
0.066,7.0,0.41,0.299414585,0.30286870327197263,0.003454118271972617
0.107,10.0,0.7,0.07045444599999999,0.08774739005517578,0.017292944055175785
0.022000000000000002,12.0,0.39,0.144198341,0.14241159227587888,-0.0017867487241211288
0.044000000000000004,40.0,0.67,0.004754601,0.014113893780273435,0.009359292780273434
0.092,38.0,0.27,0.45565840399999996,0.4505436376293945,-0.0051147663706054836
0.01,20.0,0.25,0.16508109699999998,0.17198737332812497,0.006906276328124988
0.025,8.0,0.37,0.223757764,0.2199205357231445,-0.003837228276855509
0.032,11.0,0.31,0.276544336,0.2732929222197265,-0.0032514137802734933
0.024,8.0,0.3,0.299918913,0.2936900126005859,-0.006228900399414095
0.031,19.0,0.61,0.03200172,0.03464696476367187,0.0026452447636718737
0.038,13.0,0.59,0.061369251,0.062454997982910154,0.0010857469829101546
0.064,32.0,0.58,0.075143554,0.07204163046191406,-0.0031019235380859433
0.055999999999999994,15.0,0.55,0.108632702,0.10787251923095703,-0.0007601827690429663
0.069,15.0,0.32,0.36092434,0.3630401198955078,0.0021157798955077634
0.102,36.0,0.27,0.47545663200000005,0.4727764661445312,-0.002680165855468819
0.092,11.0,0.38,0.351642333,0.3514137783784179,-0.00022855462158205553
0.065,14.0,0.53,0.142313455,0.14145972805810544,-0.0008537269418945614
0.037000000000000005,29.0,0.54,0.076576613,0.07761683516601563,0.0010402221660156252
0.095,13.0,0.65,0.074214663,0.07346942678857421,-0.0007452362114257899
0.018000000000000002,10.0,0.28,0.270805084,0.2627544255229492,-0.008050658477050776
0.025,13.0,0.29,0.25382982800000004,0.2522839191274414,-0.0015459088725586212
0.053,11.0,0.35,0.298628657,0.29688555676025385,-0.0017431002397461648
0.04,23.0,0.32,0.246894876,0.244940966590332,-0.0019539094096680254
0.031,22.0,0.2,0.38772410799999996,0.39479159058837887,0.007067482588378915
0.022000000000000002,38.0,0.62,0.009985662,-0.00030005008886718754,-0.010285712088867187
0.094,40.0,0.34,0.38659238,0.38785657985888666,0.0012641998588866499
0.039,11.0,0.38,0.22396245899999997,0.2225721574726562,-0.0013903015273437624
0.096,17.0,0.6,0.100707984,0.1021613339243164,0.0014533499243163939
0.01,38.0,0.62,0.004473367,-0.03436319102490234,-0.03883655802490234
0.081,39.0,0.31,0.386721479,0.3825533363598632,-0.004168142640136763
0.09,17.0,0.38,0.341616129,0.3426430295146484,0.0010269005146484322
0.042,21.0,0.3,0.28079314,0.28002396204541014,-0.0007691779545898614
0.046,16.0,0.64,0.037354784,0.03451098416113281,-0.002843799838867192
0.028999999999999998,27.0,0.69,0.00469161,0.0013317171416015626,-0.003359892858398437
0.046,35.0,0.36,0.22779339699999998,0.23018707121484372,0.0023936742148437384
0.04,33.0,0.22,0.368004774,0.36800341188818353,-1.3621118164497403e-06
0.10800000000000001,15.0,0.26,0.5110335970000001,0.49507728496093745,-0.015956312039062615
0.054000000000000006,16.0,0.48,0.162405402,0.16036103181103514,-0.0020443701889648613
0.1,18.0,0.24,0.518442163,0.5162222686557617,-0.0022198943442383046
0.013000000000000001,8.0,0.36,0.189793928,0.17484296598144528,-0.014950962018554725
0.09,30.0,0.32,0.39922593,0.40213454312548824,0.0029086131254882353
0.038,35.0,0.22,0.356756584,0.35930065332568356,0.0025440693256835734
0.057,9.0,0.32,0.359104231,0.35692099278124995,-0.00218323821875005
0.019,6.0,0.26,0.37170348799999997,0.3720148396630859,0.00031135166308593476
0.095,30.0,0.59,0.08910053400000001,0.09135087602246093,0.0022503420224609244
0.026000000000000002,32.0,0.32,0.169262313,0.16342059536816403,-0.005841717631835969
0.098,29.0,0.65,0.027947944,0.030907498193847655,0.0029595541938476563
0.055,30.0,0.2,0.46188685700000004,0.46767719354931636,0.005790336549316322
