para_1,result,Y_pred,Y_delta
1.97,0.024930087000000004,0.024931149268437397,1.0622684373934321e-06
1.23,0.027346767999999997,0.027346747953210546,-2.004678945066729e-08
1.79,0.025497514,0.025497197616251757,-3.16383748241722e-07
0.55,0.029773521,0.029772728243475967,-7.927565240338497e-07
0.53,0.029848068,0.029847070842543805,-9.971574561930263e-07
0.78,0.028929512,0.02893006968715249,5.576871524894111e-07
0.87,0.028605801,0.02860648507622854,6.840762285381663e-07
0.49,0.029997718,0.029996268652837665,-1.4493471623341914e-06
0.67,0.029330145,0.029330260934176285,1.159341762868582e-07
1.01,0.028109431,0.028110008783469215,5.77783469214721e-07
1.04,0.028004192999999997,0.028004710307285515,5.173072855184369e-07
1.18,0.027518266,0.027518400822330293,1.3482233029299406e-07
1.65,0.025947757999999998,0.025947026202615804,-7.317973841937386e-07
1.61,0.026077856,0.026077086492337243,-7.69507662756741e-07
1.48,0.026505191,0.026504502737555252,-6.882624447486496e-07
1.03,0.028039229,0.0280397670816669,5.38081666900253e-07
1.85,0.025306949,0.0253069769971724,2.7997172399873982e-08
1.72,0.025721651,0.025721065326277475,-5.856737225265474e-07
1.87,0.025243745,0.02524391186558474,1.6686558473866242e-07
0.69,0.02925689,0.029257114430144227,2.2443014422585117e-07
1.33,0.027006977,0.02700664604095974,-3.3095904026017586e-07
1.37,0.026872247000000002,0.026871801371095197,-4.456289048049289e-07
1.41,0.026738189,0.02673764018410824,-5.48815891759924e-07
0.85,0.028677421,0.028678093743786028,6.727437860259977e-07
1.32,0.027040764,0.0270404640026255,-2.999973744977069e-07
0.66,0.029366837000000003,0.029366898262712087,6.126271208384271e-08
1.73,0.025689512999999997,0.025688956071805682,-5.569281943153259e-07
0.58,0.029662052999999997,0.029661534727473085,-5.182725269121946e-07
1.44,0.026638084,0.026637467829506437,-6.161704935621348e-07
1.7,0.025786052,0.02578541198826061,-6.400117393903781e-07
1.66,0.025915338,0.025914617924385066,-7.200756149336462e-07
1.14,0.027656233,0.027656492035863373,2.5903586337375217e-07
0.56,0.029736321,0.029735621020461823,-6.999795381761043e-07
1.31,0.027074598,0.02707432468197111,-2.7331802888996837e-07
1.55,0.026274225,0.026273458457314876,-7.665426851218016e-07
1.53,0.02634001,0.02633925752041288,-7.524795871197143e-07
1.73,0.025689512999999997,0.025688956071805682,-5.569281943153259e-07
0.59,0.029624987999999998,0.02962455565749849,-4.3234250150792075e-07
1.65,0.025947757999999998,0.025947026202615804,-7.317973841937386e-07
1.37,0.026872247000000002,0.026871801371095197,-4.456289048049289e-07
1.0,0.028144599,0.028145193710890148,5.947108901484255e-07
0.84,0.028713302000000003,0.028713962154084546,6.601540845432852e-07
0.78,0.028929512,0.02893006968715249,5.576871524894111e-07
1.18,0.027518266,0.027518400822330293,1.3482233029299406e-07
1.25,0.02727847,0.027278385829321593,-8.417067840632564e-08
1.53,0.02634001,0.02633925752041288,-7.524795871197143e-07
0.74,0.029074559,0.029074995729461435,4.367294614351924e-07
1.25,0.02727847,0.027278385829321593,-8.417067840632564e-08
0.73,0.029110933999999998,0.029111334034238295,4.000342382973199e-07
1.52,0.026372966,0.026372221128481657,-7.448715183440424e-07
