para_1,para_2,result,Y_pred,Y_delta
0.027000000000000003,0.171,0.00035645800000000004,0.000598395,0.000241937
0.375,0.08,0.958159835,0.9118813490000001,-0.04627848599999995
0.024,0.139,0.009974743000000001,0.019121342,0.009146598999999998
0.24,0.149,0.003189392,0.0025801970000000002,-0.0006091949999999999
0.21600000000000003,0.09300000000000001,0.426252787,0.346406805,-0.07984598200000004
0.133,0.128,0.026527927000000003,0.02403854,-0.0024893870000000026
0.34700000000000003,0.08900000000000001,0.537656521,0.46513909299999995,-0.0725174280000001
0.12,0.114,0.088267544,0.045851185,-0.042416359
0.345,0.11599999999999999,0.068561376,0.034921265,-0.03364011099999999
0.174,0.109,0.12627555199999999,0.051029608,-0.07524594399999998
0.42100000000000004,0.10800000000000001,0.12606146,0.12606146,0.0
0.096,0.083,0.863265836,0.757353365,-0.10591247100000001
0.319,0.121,0.044127132,0.04272611,-0.0014010220000000018
0.02,0.092,0.487398131,0.593528692,0.10613056100000001
0.415,0.158,0.001199076,0.0008863380000000002,-0.0003127379999999999
0.21600000000000003,0.11199999999999999,0.100946039,0.07047614099999999,-0.03046989800000001
0.184,0.152,0.002395589,0.002649528,0.0002539389999999999
0.428,0.139,0.008588786,0.025716749,0.017127963000000003
0.33399999999999996,0.156,0.001509511,0.0009219180000000001,-0.000587593
0.39899999999999997,0.14400000000000002,0.0054408780000000006,0.002223927,-0.0032169510000000004
