para_1,result,Y_pred,Y_delta
1.97,0.024930087000000004,0.024930087000000004,0.0
1.23,0.027346767999999997,0.027346767999999997,0.0
1.79,0.025497514,0.025497514,0.0
0.55,0.029773521,0.029772396702655874,-1.124297344126668e-06
0.53,0.029848068,0.029848068,0.0
0.78,0.028929512,0.028929512,0.0
0.87,0.028605801,0.028605802032084453,1.032084452623483e-09
0.49,0.029997718,0.029997718,0.0
0.67,0.029330145,0.029330145,0.0
1.01,0.028109431,0.028109736267080746,3.052670807454638e-07
1.04,0.028004192999999997,0.02800412589491417,-6.710508582835617e-08
1.18,0.027518266,0.027518266,0.0
1.65,0.025947757999999998,0.025947757999999998,0.0
1.61,0.026077856,0.026077856,0.0
1.48,0.026505191,0.026505191,0.0
1.03,0.028039229,0.028039116942073845,-1.1205792615348598e-07
1.85,0.025306949,0.025306949,0.0
1.72,0.025721651,0.025721651,0.0
1.87,0.025243745,0.025243746861460182,1.861460180441199e-09
0.69,0.02925689,0.02925688861878161,-1.3812183896622088e-09
1.33,0.027006977,0.027006977,0.0
1.37,0.026872247000000002,0.026872244176920353,-2.823079648522908e-09
1.41,0.026738189,0.026738189,0.0
0.85,0.028677421,0.028677421,0.0
1.32,0.027040764,0.027040764,0.0
0.66,0.029366837000000003,0.029366840326749043,3.326749039439525e-09
1.73,0.025689512999999997,0.025689512999999997,0.0
0.58,0.029662052999999997,0.029662052999999997,0.0
1.44,0.026638084,0.026638084,0.0
1.7,0.025786052,0.025786052971436754,9.714367539548352e-10
1.66,0.025915338,0.025915335276182505,-2.723817494471037e-09
1.14,0.027656233,0.027656232899829335,-1.001706634307098e-10
0.56,0.029736321,0.029735346,-9.750000000002812e-07
1.31,0.027074598,0.027074594915185442,-3.084814556575388e-09
1.55,0.026274225,0.02627422599051408,9.905140804788992e-10
1.53,0.02634001,0.02634001,0.0
1.73,0.025689512999999997,0.025689512999999997,0.0
0.59,0.029624987999999998,0.029624987999999998,0.0
1.65,0.025947757999999998,0.025947757999999998,0.0
1.37,0.026872247000000002,0.026872244176920353,-2.823079648522908e-09
1.0,0.028144599,0.028145052301172792,4.533011727925196e-07
0.84,0.028713302000000003,0.028713302000000003,0.0
0.78,0.028929512,0.028929512,0.0
1.18,0.027518266,0.027518266,0.0
1.25,0.02727847,0.02727847295393371,2.953933712218637e-09
1.53,0.02634001,0.02634001,0.0
0.74,0.029074559,0.029074559,0.0
1.25,0.02727847,0.02727847295393371,2.953933712218637e-09
0.73,0.029110933999999998,0.029110933999999998,0.0
1.52,0.026372966,0.02637296305359756,-2.9464024414727064e-09
